model,foot,heel,ankle,knee,hip,shoulder,elbow,wrist
predictions\rtmpose-l_8xb256-420e_body8-256x192_rtmpose-l_simcc-body7_pt-body7_420e-256x192-4dba18fc_20230504.pth,-1.0,-1.0,2.454157070724539,3.6898457578645427,3.9119487983144596,3.809491647744064,1.8512331836688596,1.93626090604496
predictions\rtmpose-l_8xb256-420e_body8-384x288_rtmpose-l_simcc-body7_pt-body7_420e-384x288-3f5a1437_20230504.pth,-1.0,-1.0,2.4199626575415927,3.4322164481831736,2.923051253203866,3.768343287147017,2.1642342408056057,1.8472617881940916
predictions\rtmpose-l_8xb512-700e_body8-halpe26-256x192_best_AUC_iter_90.pth,1.6311647856609297,2.5242562840715137,0.9652795563728557,1.772657189862251,3.6078260024112128,2.623697085650383,1.723103099423379,0.9638684102978823
predictions\rtmpose-l_8xb512-700e_body8-halpe26-256x192_rtmpose-l_simcc-body7_pt-body7-halpe26_700e-256x192-2abb7558_20230605.pth,4.619402262805963,4.1753224157764794,2.3292599570857346,3.4976776728867622,5.123584331398808,3.58237024321155,2.063546161123694,2.052713246247959
predictions\rtmpose-l_8xb512-700e_body8-halpe26-384x288_rtmpose-l_simcc-body7_pt-body7-halpe26_700e-384x288-734182ce_20230605.pth,4.497036881534262,4.658225793241959,2.6827027755640223,3.5141150494278692,4.426213362861772,3.592022901796092,2.332294578795194,1.959211586330455
predictions\rtmpose-l_8xb64-270e_coco-wholebody-256x192_rtmpose-l_simcc-coco-wholebody_pt-aic-coco_270e-256x192-6f206314_20230124.pth,3.3184878036903256,4.511343356662313,1.6953747577461282,4.327509640490523,4.830576204499288,4.502368489517623,3.0519393081725275,1.6218481120302133
predictions\rtmpose-m_8xb256-420e_body8-256x192_rtmpose-m_simcc-body7_pt-body7_420e-256x192-e48f03d0_20230504.pth,-1.0,-1.0,2.5273242523156467,3.6981682180445157,3.1231133673242892,3.7988789828888807,2.442564510608114,1.6543759336458737
predictions\rtmpose-m_8xb256-420e_body8-384x288_rtmpose-m_simcc-body7_pt-body7_420e-384x288-65e718c4_20230504.pth,-1.0,-1.0,2.737908086887889,3.518861663437935,2.7543699152428838,3.6255397068121287,2.080963789689555,1.7611632228130183
predictions\rtmpose-m_8xb512-700e_body8-halpe26-256x192_best_NME_iter_120.pth,1.8698646616214405,2.597366476392309,0.9878213893215666,1.648829799978879,3.8249767252360733,2.4474715270682603,1.5426907738817621,0.721521476436798
predictions\rtmpose-m_8xb512-700e_body8-halpe26-256x192_rtmpose-m_simcc-body7_pt-body7-halpe26_700e-256x192-4d3e73dd_20230605.pth,4.273374433672807,4.697786625392994,2.5007117110961223,3.62950765801259,3.685572068355555,3.8389906072579754,2.12087721044573,1.651837520626262
predictions\rtmpose-m_8xb512-700e_body8-halpe26-384x288_best_NME_iter_130.pth,1.6189647423749032,2.734080500057363,0.7902861518148743,1.74982488982668,3.8464808577269696,2.6249804865198763,1.7003510456741873,0.49416332576887323
predictions\rtmpose-m_8xb512-700e_body8-halpe26-384x288_rtmpose-m_simcc-body7_pt-body7-halpe26_700e-384x288-89e6428b_20230605.pth,4.454980255767348,4.426145668399996,2.5904097267301345,3.462109679789103,3.567563076302266,3.393576737106105,2.27632029655814,1.6725021443767873
predictions\rtmpose-m_8xb64-270e_coco-wholebody-256x192_rtmpose-m_simcc-coco-wholebody_pt-aic-coco_270e-256x192-cd5e845c_20230123.pth,4.272717261418613,4.123551259996254,1.935368302957977,4.51412516705898,4.417348964304774,4.330443678163654,3.43745084842706,1.4668518212890134
predictions\rtmpose-s_8xb1024-700e_body8-halpe26-256x192_rtmpose-s_simcc-body7_pt-body7-halpe26_700e-256x192-7f134165_20230605.pth,4.102449829147534,4.563733446213656,2.473100366504222,3.852460232125535,4.661844188415554,3.9558559574996117,2.919143834759251,1.8301941237697645
predictions\rtmpose-s_8xb256-420e_body8-256x192_rtmpose-s_simcc-body7_pt-body7_420e-256x192-acd4a1ef_20230504.pth,-1.0,-1.0,2.865633753638165,3.8610803667556874,3.936988566117281,4.05900084412104,2.942980333394801,1.949757022665726
predictions\rtmpose-t_8xb1024-700e_body8-halpe26-256x192_rtmpose-t_simcc-body7_pt-body7-halpe26_700e-256x192-6020f8a6_20230605.pth,5.471810249564866,4.178297464317304,2.539542183682956,4.13616349852507,4.497019437014595,4.451628648804883,2.981638384991147,1.9584213146888172
predictions\rtmpose-t_8xb256-420e_body8-256x192_rtmpose-t_simcc-body7_pt-body7_420e-256x192-026a1439_20230504.pth,-1.0,-1.0,3.0193391885694876,3.9765583453712567,4.5510480064722,4.312422332690938,2.9394976101671775,2.2622800180404004
predictions\simcc_vipnas-mbv3_8xb64-210e_coco-256x192_simcc_vipnas-mbv3_8xb64-210e_coco-256x192-719f3489_20220922.pth,-1.0,-1.0,2.6766444047821154,4.192638068054311,4.694091873277979,4.149096986987496,3.4406872194988654,1.9076055888593555
predictions\td-hm_hrnet-w32_8xb64-210e_coco-256x192_td-hm_hrnet-w32_8xb64-210e_coco-256x192-81c58e40_20220909.pth,-1.0,-1.0,1.9554850663273116,3.8226762290968783,3.6121402613120743,4.391519722738296,2.409557519560708,1.9976174112481278
predictions\yoloxpose_m_8xb32-300e_coco-640_yoloxpose_m_8xb32-300e_coco-640-84e9a538_20230829.pth,-1.0,-1.0,2.736893648201165,4.972206628579198,4.810981242804834,4.148562183510099,2.437119470625962,1.9357748435975672
